Computer_Science,Chemistry,Mathematics,Physics
74.41,103.29,95.21,74.25
83.02,88.96,74.95,96.26
79.57,85.67,63.88,100.01
75.55,84.31,99.49,91.51
97.16,88.7,82.81,93.38
89.59,107.6,87.55,97.8
95.88,80.17,77.85,101.37
95.26,82.55,77.57,81.62
102.16,91.97,83.38,84.64
89.16,87.27,86.52,69.78
92.13,98.89,78.83,95.05
86.89,86.3,85.84,72.75
91.06,77.66,94.16,88.55
86.35,90.46,81.61,66.05
81.05,84.61,102.05,95.44
81.0,89.26,89.42,98.69
70.33,74.37,93.35,78.14
80.03,77.49,81.21,75.89
71.97,90.11,77.82,100.27
86.97,88.54,92.74,87.77
89.87,86.41,89.74,97.61
108.01,109.34,69.0,83.88
81.71,95.65,75.43,81.43
84.52,60.26,79.67,91.39
69.78,114.27,82.55,80.34
111.5,82.64,66.03,94.08
81.4,79.2,98.86,89.46
83.65,76.2,66.35,64.3
84.78,94.19,76.34,94.23
73.27,84.39,92.02,87.96
94.03,82.08,85.6,111.65
75.22,89.32,90.46,95.47
64.72,77.22,82.55,82.5
89.42,82.89,93.55,79.71
88.69,79.35,80.6,100.08
72.74,86.56,79.89,67.91
78.62,83.44,77.52,71.41
90.26,104.62,91.67,80.24
75.48,95.18,70.94,72.32
86.68,74.1,70.08,91.12
101.15,88.94,86.56,82.51
89.73,94.89,78.01,73.28
78.39,80.9,85.06,78.66
76.6,69.16,81.91,78.95
75.85,84.68,70.76,100.86
93.5,82.2,74.13,68.23
83.5,89.91,81.61,73.0
108.72,94.89,86.77,77.26
64.9,71.96,76.36,90.12
80.16,100.53,82.31,94.56
105.86,91.3,86.64,81.07
80.07,86.13,64.99,89.79
96.0,88.17,79.12,83.66
79.48,84.65,90.02,85.68
81.28,72.46,66.02,61.99
90.2,96.68,86.33,83.54
87.26,92.46,75.24,66.21
85.34,81.84,101.44,84.67
85.21,77.6,89.68,71.06
75.52,95.47,82.84,93.55
76.38,96.44,81.16,106.34
87.31,93.96,83.2,99.6
89.87,65.47,86.43,80.74
69.57,87.96,82.87,92.68
73.25,84.72,86.59,67.14
79.2,80.93,92.8,81.13
85.48,100.73,61.8,90.94
87.61,105.82,77.65,87.31
76.73,72.46,84.33,100.78
83.53,97.5,101.5,61.84
73.05,91.57,63.93,92.85
61.39,76.49,63.27,99.88
73.06,98.56,79.07,71.05
82.47,68.44,83.11,76.09
91.44,85.15,74.47,92.47
95.94,87.06,92.94,83.06
77.32,89.87,67.71,88.72
77.97,90.18,89.62,100.32
91.18,87.19,76.86,86.39
88.78,86.45,84.01,75.96
85.72,94.98,74.33,97.04
78.33,85.76,97.93,83.87
68.53,97.21,77.07,79.43
78.6,84.53,82.59,85.35
80.64,95.35,72.27,91.12
65.55,83.91,79.62,81.91
83.48,80.31,92.28,82.76
89.16,76.91,97.88,66.97
110.1,77.35,67.2,85.77
68.93,97.99,92.52,66.01
74.57,79.93,82.07,81.49
87.31,86.99,84.97,73.98
79.03,91.1,75.93,88.22
69.42,67.56,89.26,92.27
96.29,90.64,76.15,81.43
87.9,84.92,73.02,79.74
83.14,65.49,69.03,83.18
78.03,77.96,78.22,82.74
71.53,89.2,83.28,90.7
69.57,102.72,80.71,74.47
90.43,66.99,85.94,79.84
87.68,83.5,102.32,71.4
77.0,83.67,73.0,99.91
96.27,81.32,81.01,86.75
79.58,75.11,75.11,91.44
88.36,84.39,82.69,79.31
77.74,96.75,90.95,88.09
87.71,87.96,74.55,82.96
81.24,79.59,87.3,69.49
86.83,84.82,79.48,76.15
80.4,96.38,80.61,70.25
98.03,90.66,85.0,69.77
100.51,83.26,83.68,71.25
89.38,85.05,74.89,99.44
91.96,78.29,79.61,88.36
85.02,85.05,85.94,80.23
79.93,84.91,83.06,75.77
87.39,102.44,87.46,81.31
74.62,84.85,62.26,82.16
82.03,70.97,85.1,90.17
76.75,88.16,77.75,86.81
80.52,75.18,87.42,84.92
77.76,87.39,70.75,86.05
69.29,105.47,44.8,68.71
85.55,80.81,77.99,77.06
94.48,76.38,84.0,69.99
88.82,76.62,81.51,75.83
